Category - this is a dummy column;Filename;calibration;Charge;Live time (%);current (nA);CaK;TiK;MnK;FeK;NiK;CuK;BrK;AgK;AuL;HgL;PbL;BiL
This is a dummy line;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;16out051.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.2099;0;101.5108;0.07854;0.05238;0.9169;0
2;16out052.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.5433;0;107.2559;0.09462;0.09107;0.9486;0.006047
2;16out053.spe;cal1.txt;20;0.683;15;0;0;0;0;0;10.852;0;96.6567;0.05313;0.04217;0.6452;0.007368
2;16out054.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.7774;0;98.71;0.05145;0.04325;1.1238;0.006908
2;16out055.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.9122;0;103.7389;0.05831;0.01603;1.0608;0.1025
2;16out056.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.9708;0;95.348;0.04191;0.01852;1.385;0.1278
2;16out057.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.9362;0;105.753;0.2369;0.03882;0.9087;0
2;16out058.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.7484;0;99.832;0.2137;0.04215;1.1352;0
2;16out060.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.8458;0;93.3455;0.0897;0.07737;1.1629;0.03564
2;16out061.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.2011;0;83.2604;0.07294;0.06625;0.9412;0.03386
2;16out062.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.0686;0;98.159;0.6281;0.01624;0.5637;0.007654
2;16out063.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.1596;0;96.2746;0.5933;0.02648;0.6409;0.01033
2;16out064.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.5793;0;81.8981;0.6864;0.03366;0.7406;0
2;16out065.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.613;0;89.5494;0.7892;0.03078;0.8321;0.01746
2;16out066.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.3912;0;101.7018;0.4787;0.01989;0.3087;0.02576
2;16out067.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.6519;0;97.4553;0.4931;0.02262;0.4834;0.03652
2;16out068.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.7199;0;89.0963;0.1454;0.04293;1.1339;0
2;16out069.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.7713;0;77.0836;0.126;0.0203;0.9371;0
2;16out070.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.9523;0;98.3477;0.3862;0.06249;1.332;0.01269
2;16out071.spe;cal1.txt;20;0.683;15;0;0;0;0;0;6.0449;0;93.1638;0.3764;0.03946;0.7633;0
2;16out072.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.5859;0;103.8726;0.07466;0.0528;0.5379;0.03025
2;16out073.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.2191;0;96.5875;0.06781;0.06595;0.5448;0.03252
2;16out076.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.2344;0;118.6644;0.03346;0.06828;0.2371;0.2042
2;16out077.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.9967;0;106.4743;0.02941;0.05041;0.2333;0.207
2;16out078.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.6564;0;110.6034;0.2439;0.02558;0.3851;0.3716
2;16out079.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.6752;0;97.2456;0.3113;0.03696;0.3686;0.3971
2;16out080.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.1098;0;116.1563;0.602;0.009177;0.2387;0.08084
2;16out081.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.4383;0;119.3319;0.5265;0.01194;0.1416;0.04793
2;16out082.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.164;0;110.4963;0.9285;0.008628;0.2679;0.02139
2;16out083.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.4397;0;107.1321;0.6609;0.02025;0.2352;0.02042
2;16out084.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.6923;0;98.8024;0.1431;0;0.8422;0.101
2;16out085.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.7077;0;91.3058;0.1726;0;0.7037;0.08719
